SR_ID_Pub3,No of trials_Pub3,No of participants_Pub3,List of participants_Pub3,PublicationDate_Pub3,SearchDate_Pub3,conclusion,No of trials_Pub2,No of participants_Pub2,List of participants_Pub2,SearchDate_Pub2
29766487,7,402,"[77, 20, 132, 24, 60, 89]",16-May-18,30-Jun-17,0,6,345,"[20, 20, 132, 24, 60, 89]",31-Oct-10
29757454,38,3379,"[81, 125, 112, 47, 100, 159, 103, 89, 105, 42, 60, 54, 89, 39, 33, 35, 54, 20, 37, 30, 40, 60, 21, 100, 40, 30, 72, 24, 40, 120, 136, 140, 132, 80, 96, 774, 60]",12-May-18,31-Aug-17,0,38,3379,"[81, 125, 112, 47, 100, 159, 103, 89, 105, 42, 60, 54, 89, 39, 33, 35, 54, 20, 37, 30, 40, 60, 21, 100, 40, 30, 72, 24, 40, 120, 136, 140, 132, 80, 96, 774, 60]",31-Aug-17
29742275,5,219,"[42, 61, 44, 44, 28]",9-May-18,31-Aug-17,0,5,116,"[21, 29, 28, 23, 15]",22-Nov-11
29741752,6,710,"[86, 43, 90, 68, 283, 140]",9-May-18,30-Jun-17,0,5,642,"[86, 43, 90, 283, 140]",28-Feb-14
29736980,10,1964,"[99, 135, 626, 3, 65, 74, 2, 375, 376, 209]",8-May-18,31-Aug-17,1,7,1335,"[76, 99, 135, 65, 375, 376, 209]",31-Jul-12
29734470,42,23197,"[56, 96, 380, 536, 314, 1224, 72, 160, 160, 11, 77, 205, 176, 41, 55, 1, 349, 3361, 233, 459, 381, 36, 70, 600, 100, 4040, 65, 56, 529, 101, 279, 555, 386, 537, 62, 3821, 3020, 56, 96, 80, 198, 163]",7-May-18,30-Apr-17,0,26,12578,"[56, 96, 380, 536, 314, 1224, 72, 160, 77, 205, 176, 41, 349, 3361, 233, 381, 36, 100, 4040, 65, 56, 101, 62, 96, 198, 163]",30-Apr-13
29708265,9,2976,"[96, 497, 212, 54, 70, 800, 250, 981, 16]",30-Apr-18,31-Jan-18,1,4,1056,"[868, 54, 111, 23]",31-May-10
29697138,10,898,"[36, 274, 80, 200, 34, 50, 44, 100, 80]",26-Apr-18,18-Jul-17,0,4,178,"[34, 44, 100]",30-Apr-10
29694674,16,837,"[26, 75, 22, 48, 77, 37, 55, 40, 64, 112, 70, 39, 23, 40, 32, 77]",17-Sep-15,31-Aug-15,1,23,114,"[96, 7, 2, 9]",30-Apr-12
29687454,13,1074,"[359, 664, 51]",24-Apr-18,7-Jan-17,0,55,10111,"[28, 1, 219, 100, 40, 9720, 2, 1]",31-Jul-10
29676439,10,357,"[36, 55, 31, 20, 61, 72, 29, 20, 33]",20-Apr-18,31-Mar-17,0,4,55,[55],5-Dec-13
29667726,28,1819,"[23, 40, 30, 121, 19, 41, 19, 268, 60, 39, 40, 100, 22, 14, 460, 31, 61, 30, 20, 97, 52, 30, 45, 30, 12, 43, 72]",18-Apr-18,28-Feb-17,1,4,0,[],31-Mar-11
29667175,24,31100,"[116, 99, 1473, 840, 452, 3845, 1283, 91, 4396, 354, 785, 5665, 4736, 551, 4695, 720, 389, 143, 380, 87]",18-Apr-18,30-Nov-17,0,24,2193,"[1473, 720]",30-Jun-08
29624206,8,138,"[48, 90]",6-Apr-18,6-Nov-17,1,2,0,[],31-Dec-13
29620795,67,0,[],5-Apr-18,18-Nov-17,1,32,239,"[78, 97, 64]",9-Jul-12
29618171,21,10760,"[219, 468, 96, 302, 3554, 66, 115, 105, 1813, 934, 400, 100, 50, 98, 1280, 78, 46, 342, 152, 384, 158]",4-Apr-18,15-Nov-17,0,12,7529,"[219, 468, 96, 3554, 66, 105, 1813, 934, 100, 50, 78, 46]",30-Nov-14
29589380,14,1095,"[62, 64, 100, 60, 28, 128, 60, 90, 176, 120, 46, 60, 101]",28-Mar-18,30-Jun-17,0,6,401,"[62, 60, 28, 60, 90, 101]",30-Jun-11
29547689,4,1803,"[972, 276, 555]",16-Mar-18,28 Feburary 2018,0,4,1803,"[972, 276, 555]",30-Nov-16
29546732,1,117,[117],16-Mar-18,17-Nov-17,0,1,117,[117],7-Dec-15
29533470,88,16998,"[17, 210, 60, 253, 20, 99, 387, 72, 100, 45, 38, 21, 30, 62, 5, 27, 462, 201, 11, 207, 40, 85, 320, 66, 50, 10, 40, 109, 42, 100, 35, 130, 56, 141, 68, 60, 60, 60, 90, 30, 27, 200, 75, 36, 164, 70, 71, 19, 45, 548, 85, 100, 36, 38, 38, 101, 136, 37, 90, 141, 100, 11, 255, 97, 8351, 26, 10, 123, 60, 42, 45, 140, 101, 50, 7, 223, 128, 58, 22, 132, 200, 23, 41, 60, 60, 496, 102, 59]",13-Mar-18,30-Jun-13,1,89,17008,"[17, 210, 60, 253, 20, 99, 387, 72, 100, 45, 38, 21, 30, 62, 5, 27, 462, 201, 11, 207, 40, 85, 320, 66, 50, 10, 40, 109, 42, 100, 35, 130, 56, 141, 68, 60, 60, 60, 90, 30, 27, 200, 75, 36, 164, 70, 71, 19, 45, 548, 85, 100, 36, 38, 38, 101, 136, 37, 90, 141, 100, 11, 255, 97, 8351, 26, 10, 123, 60, 42, 45, 140, 101, 50, 7, 223, 128, 58, 10, 22, 132, 200, 23, 41, 60, 60, 496, 102, 59]",30-Jun-13
29523018,16,1036,"[33, 21, 82, 70, 94, 301, 82, 39, 35, 15, 39, 85, 42, 18, 39, 41]",10-Mar-18,31-Mar-17,1,9,635,"[33, 100, 82, 15, 111, 85, 18, 91, 100]",31-Aug-11
29509959,13,14688,"[4673, 201, 222, 3773, 235, 536, 1146, 105, 508, 1280, 448, 1297, 264]",6-Mar-18,30-Sep-16,0,10,10274,"[4673, 201, 222, 235, 1146, 508, 1280, 448, 1297, 264]",30-Jun-12
29480555,14,25708,"[770, 4803, 4803, 4803, 2817, 17, 66, 14, 1357, 41, 459, 3, 5739, 16]",26-Feb-18,30-Apr-16,0,14,25708,"[770, 4803, 4803, 4803, 2817, 17, 66, 14, 1357, 41, 459, 3, 5739, 16]",30-Apr-16
29429146,19,567,"[85, 231, 20, 122, 109]",11-Feb-18,13-Mar-17,0,13,407,"[85, 231, 91]",31-Jan-10
29405037,5,0,[],6-Feb-18,17-Feb-17,0,4,0,[],30-Nov-12
29388675,6,1698,"[78, 1577, 43]",1-Feb-18,31-May-17,0,4,1620,"[1577, 43]",31-Aug-13
29376563,18,93,"[3, 2, 2, 86]",29-Jan-18,28-Feb-17,1,6,198,"[186, 12]",31-May-13
29341067,13,438,"[158, 32, 12, 10, 40, 21, 10, 16, 55, 20, 23, 41]",17-Jan-18,30-Apr-17,0,11,387,"[158, 32, 12, 40, 21, 10, 16, 55, 20, 23]",31-Mar-10
29320603,18,2199,"[160, 102, 141, 98, 43, 23, 273, 45, 120, 60, 44, 70, 177, 100, 330, 115, 178, 120]",10-Jan-18,23-May-17,1,4,0,[],31-Jul-07
29243813,77,6907,"[21, 108, 2, 182, 2, 62, 105, 2, 2, 79, 38, 154, 74, 5, 80, 89, 102, 288, 29, 95, 116, 95, 619, 10, 60, 133, 363, 10, 55, 37, 53, 2, 11, 237, 147, 446, 1491, 52, 19, 90, 154, 30, 1048, 2, 108]",15-Dec-17,27-Jul-16,0,77,6907,"[21, 108, 2, 182, 2, 62, 105, 2, 2, 79, 38, 154, 74, 5, 80, 89, 102, 288, 29, 95, 116, 95, 619, 10, 60, 133, 363, 10, 55, 37, 53, 2, 11, 237, 147, 446, 1491, 52, 19, 90, 154, 30, 1048, 2, 108]",27-Jul-16
29199767,5,1019,"[347, 97, 289, 141, 145]",2-Dec-17,21-Nov-16,1,4,922,"[347, 289, 141, 145]",30-Oct-12
29178172,16,719,"[28, 92, 45, 13, 60, 26, 64, 58, 88, 26, 6, 6, 10, 20, 57, 120]",27-Nov-17,30-Jun-17,0,11,370,"[28, 92, 45, 13, 60, 26, 58, 26, 6, 6, 10]",31-Mar-15
