SR_ID_Pub3,No of trials_Pub3,No of participants_Pub3,List of participants_Pub3,PublicationDate_Pub3,SearchDate_Pub3,conclusion,No of trials_Pub2,No of participants_Pub2,List of participants_Pub2,SearchDate_Pub2
28234402,12,0,[],24-Feb-17,13-Mar-16,1,7,8591,[8591],31-May-10
28231607,5,662,"[295, 107, 221, 39]",24-Feb-17,19-Sep-16,0,5,662,"[295, 107, 221, 39]",30-Jun-12
28230908,21,1386,"[37, 80, 55, 40, 40, 81, 125, 160, 120, 40, 64, 2, 105, 124, 1, 72, 120, 30, 90]",17-Sep-15,30-Jun-16,1,7,485,"[55, 40, 125, 160, 105]",30-Apr-11
28230244,25,3129,"[151, 35, 55, 139, 95, 95, 66, 100, 467, 107, 41, 180, 1, 158, 194, 107, 151, 240, 71, 240, 180, 156, 68, 32]",22-Feb-17,31-Dec-16,0,25,3129,"[151, 35, 55, 139, 95, 95, 66, 100, 467, 107, 41, 180, 1, 158, 194, 107, 151, 240, 71, 240, 180, 156, 68, 32]",31-Dec-16
28221665,2,0,[],21-Feb-17,31-Oct-16,0,1,0,[],31-Jul-13
28207928,75,11527,"[188, 39, 370, 36, 176, 150, 160, 192, 332, 91, 321, 546, 450, 500, 930, 127, 30, 100, 75, 29, 146, 107, 124, 124, 136, 96, 105, 48, 319, 105, 253, 29, 48, 42, 274, 43, 105, 301, 12, 103, 14, 159, 71, 23, 209, 21, 346, 9, 86, 183, 504, 332, 140, 179, 397, 41, 48, 137, 61, 349, 89, 56, 219, 24, 50, 58, 30, 66, 24, 198, 15, 27]",29-Apr-14,28-Feb-15,0,48,9207,"[188, 39, 370, 176, 192, 332, 321, 546, 450, 500, 930, 127, 100, 146, 107, 124, 136, 105, 48, 105, 29, 48, 42, 274, 105, 301, 12, 159, 23, 209, 346, 9, 86, 504, 332, 140, 179, 397, 41, 137, 61, 349, 89, 56, 24, 198, 15]",30-Sep-10
28205208,25,2001,"[50, 59, 640, 14, 28, 26, 95, 136, 80, 30, 74, 61, 90, 62, 18, 10, 36, 40, 24, 64, 50, 47, 107, 60, 100]",16-Feb-17,25-Feb-16,1,19,1595,"[50, 59, 640, 14, 28, 26, 95, 30, 74, 61, 90, 62, 18, 10, 24, 47, 107, 60, 100]",31-Aug-11
28192644,5,8005,"[6618, 15, 129, 603, 640]",13-Feb-17,31-Dec-16,0,4,7876,"[6618, 15, 603, 640]",31-Oct-12
28176333,12,6258,"[2606, 146, 200, 181, 165, 402, 703, 200, 446, 1000, 209]",8-Feb-17,14-Sep-16,1,8,5794,"[2606, 146, 200, 181, 165, 1050, 446, 1000]",31-Mar-08
28158933,1,90,[90],4-Feb-17,30-Apr-16,0,1,90,[90],31-Dec-13
28157274,12,1967,"[81, 180, 22, 148, 120, 738, 200, 40, 53, 50, 211, 124]",3-Feb-17,4-Feb-16,0,6,396,"[81, 22, 120, 53, 50, 70]",24-Jun-10
28146296,10,2,[2],1-Feb-17,28-Sep-15,0,8,2,[2],4-Sep-13
28141912,4,204,"[20, 11, 33, 140]",31-Jan-17,31-Dec-15,0,3,53,"[20, 33]",31-Aug-11
28128439,37,0,[],27-Jan-17,31-May-16,1,7,1962,"[279, 291, 55, 491, 459, 267, 120]",30-Sep-07
28103638,29,138,"[22, 41, 17, 10, 1, 21, 5, 21]",20-Jan-17,31-Jan-16,1,7,184,"[22, 13, 10, 20, 20, 21, 78]",28-Feb-10
28094851,5,2473,"[99, 1934, 79, 202, 159]",17-Jan-17,4-Apr-16,0,3,342,"[130, 79, 133]",28-Jan-13
28079254,1,0,[],12-Jan-17,14-Apr-16,0,1,0,[],30-Apr-13
28067942,5,57,"[21, 36]",9-Jan-17,14-Nov-16,0,5,114,"[21, 45, 14, 12, 22]",31-Mar-11
28067944,71,10641,"[40, 66, 77, 88, 61, 64, 42, 67, 28, 62, 256, 260, 516, 292, 134, 23, 23, 25, 60, 32, 17, 16, 225, 262, 100, 77, 95, 70, 165, 193, 178, 70, 122, 73, 152, 41, 80, 160, 40, 200, 196, 82, 123, 152, 547, 37, 90, 251, 873, 528, 79, 94, 102, 78, 88, 345, 93, 67, 71, 114, 173, 168, 200, 122, 196, 153, 158, 201, 708]",6-Jan-17,10-Apr-15,0,69,10445,"[40, 66, 77, 88, 67, 61, 64, 42, 28, 516, 256, 260, 292, 225, 23, 23, 25, 60, 32, 17, 16, 262, 100, 77, 165, 95, 70, 193, 178, 70, 122, 73, 152, 41, 80, 200, 160, 40, 196, 82, 123, 152, 547, 37, 90, 251, 873, 528, 79, 94, 102, 78, 88, 345, 93, 67, 71, 114, 173, 168, 200, 122, 708, 196, 153, 158, 201]",28-Feb-09
28012165,38,27,"[7, 8, 0, 10, 2]",24-Dec-16,14-Dec-15,1,23,33,"[7, 8, 0, 10, 6, 2]",31-Mar-13
28005272,1,72,[72],22-Dec-16,30-May-16,0,2,98,"[26, 72]",31-Oct-13
27977851,6,0,[],15-Dec-16,31-Aug-15,0,5,0,[],31-Mar-12
27959472,50,4455,"[86, 72, 182, 101, 93, 123, 105, 50, 25, 10, 58, 60, 89, 471, 441, 100, 48, 113, 70, 52, 63, 97, 189, 50, 342, 93, 276, 96, 113, 52, 48, 50, 150, 120, 100, 100, 167]",13-Dec-16,5-Sep-16,0,49,4385,"[86, 72, 182, 101, 93, 123, 105, 50, 25, 10, 58, 60, 89, 471, 441, 100, 48, 113, 52, 63, 97, 189, 50, 342, 93, 276, 96, 113, 52, 48, 50, 150, 120, 100, 100, 167]",30-Sep-08
27918616,23,2207,"[136, 149, 150, 80, 33, 1373, 196, 90]",5-Dec-16,15-Aug-16,0,10,0,[],31-Dec-10
27915460,6,2856,"[1241, 96, 809, 412, 298]",4-Dec-16,21-Oct-16,0,8,2856,"[1241, 96, 809, 412, 298]",31-Jan-10
27911487,2,5,[5],2-Dec-16,1-Jun-15,0,2,5,[5],31-May-11
27577848,9,1792,"[988, 250, 55, 98, 104, 226, 40, 31]",31-Aug-16,30-Sep-15,1,9,1961,"[988, 250, 320, 55, 75, 98, 104, 40, 31]",30-Nov-10
27562563,1,132,[132],26-Aug-16,30-May-16,0,1,132,[132],30-Jun-12
27552363,2,203,"[68, 135]",23-Aug-16,30-Sep-15,0,2,203,"[68, 135]",31-May-11
27552162,17,433,"[40, 56, 100, 208, 28, 1]",22-Aug-16,5-Jan-16,0,9,460,"[224, 56, 92, 60, 28]",31-Oct-10
27537242,37,2368,"[22, 20, 24, 19, 53, 50, 60, 106, 659, 18, 56, 203, 24, 14, 45, 24, 26, 78, 36, 69, 13, 38, 39, 29, 53, 36, 52, 60, 40, 65, 59, 76, 135, 36, 31]",18-Aug-16,13-Jun-16,1,32,2053,"[22, 20, 24, 19, 53, 50, 60, 106, 659, 18, 56, 24, 14, 45, 24, 26, 78, 69, 13, 38, 39, 29, 53, 36, 52, 60, 40, 65, 59, 135, 36, 31]",6-Nov-13
27524661,52,3520,"[15, 30, 39, 18, 60, 8, 49, 12, 52, 25, 69, 200, 63, 34, 63, 33, 34, 13, 20, 70, 40, 27, 129, 102, 60, 120, 160, 123, 99, 40, 100, 207, 29, 90, 83, 113, 62, 18, 100, 44, 20, 100, 136, 60, 260, 26, 95, 170]",15-Aug-16,31-Jan-16,1,30,1553,"[21, 30, 18, 60, 8, 49, 12, 25, 69, 63, 63, 33, 70, 40, 25, 129, 60, 20, 40, 83, 100, 44, 136, 260, 95]",30-Sep-10
27505053,10,9016,"[1458, 18, 939, 18, 502, 4031, 335, 1429, 98, 188]",9-Aug-16,2-Aug-16,0,7,8882,"[1458, 939, 502, 4031, 335, 1429, 188]",31-Oct-12
27501304,5,269,"[45, 41, 63, 60, 60]",8-Aug-16,5-Jan-16,1,5,269,"[45, 41, 63, 60, 60]",8-Mar-12
27498707,1,91,[91],8-Aug-16,18-May-16,0,2,91,[91],4-Dec-13
27486835,5,3429,"[663, 1277, 306, 857, 326]",3-Aug-16,31-Jan-16,0,4,3103,"[663, 1277, 306, 857]",31-Aug-11
27465317,5,690,"[159, 338, 98, 50, 45]",28-Jul-16,6-Nov-13,1,3,254,"[159, 50, 45]",6-Nov-13
27425375,7,1473,"[258, 102, 1113]",18-Jul-16,4-May-15,0,4,2253,"[174, 258, 708, 1113]",7-Nov-13
27404120,1,548,[548],12-Jul-16,30-Apr-16,0,1,548,[548],27-Feb-12
27394698,14,6555,"[180, 1640, 4359, 1, 375]",10-Jul-16,12-May-16,1,6,4914,"[180, 4359, 375]",8-Jul-10
27388039,3,108,"[39, 39, 30]",8-Jul-16,15-Feb-16,0,2,69,"[39, 30]",30-Apr-11
27378324,29,5257,"[206, 325, 100, 56, 617, 320, 320, 84, 11, 150, 201, 125, 600, 2, 737, 54, 162, 179, 100, 195, 58, 139, 200, 114, 202]",5-Jul-16,1-Jul-15,1,19,4500,"[325, 100, 56, 617, 320, 320, 84, 150, 201, 125, 600, 737, 179, 100, 195, 139, 202, 50]",30-Nov-07
27356171,11,829,"[46, 65, 40, 60, 14, 120, 125, 60, 131, 100, 68]",29-Jun-16,28-Feb-16,0,10,729,"[46, 65, 40, 60, 14, 120, 125, 60, 131, 68]",30-Sep-11
27351677,22,85,"[35, 50]",28-Jun-16,31-Jan-16,1,22,27,[27],31-Jan-08
27351423,13,724,"[16, 60, 45, 70, 88, 197, 59, 28, 34, 39, 88]",28-Jun-16,30-Jun-15,0,8,744,"[45, 88, 205, 197, 59, 28, 34, 88]",28-Feb-10
27344135,3,401,"[85, 218, 98]",26-Jun-16,31-Oct-15,0,2,316,"[218, 98]",31-May-11
27290722,25,3663,"[141, 90, 264, 84, 100, 149, 42, 30, 91, 76, 200, 142, 103, 518, 331, 120, 59, 147, 141, 150, 100, 90, 69, 264, 162]",12-Jun-16,14-Apr-16,0,23,22932,"[90, 2105, 149, 2027, 30, 91, 2060, 200, 142, 2502, 2318, 11, 59, 147, 141, 70, 2138, 2088, 2089, 69, 2250, 2156]",22-Feb-12
27271480,18,19,"[15, 4]",6-Jun-16,30-Apr-16,0,15,4,[4],31-Aug-09
27271056,6,2050,"[449, 90, 342, 30, 479, 660]",6-Jun-16,30-Apr-15,1,3,1199,"[449, 90, 660]",31-Jul-10
27258214,1,0,[0],3-Jun-16,11-Nov-15,0,1,0,[0],31-Mar-12
27230550,1,77,[77],27-May-16,28-Feb-16,0,1,77,[77],28-Feb-07
27223580,10,50,"[42, 5, 1, 1, 1]",25-May-16,30-Jun-15,1,9,8,"[5, 1, 1, 1]",15-Aug-12
27213715,75,0,[],23-May-16,31-May-10,0,36,4252,"[90, 76, 550, 182, 40, 80, 60, 45, 90, 60, 61, 40, 71, 120, 323, 297, 40, 74, 30, 79, 38, 50, 40, 161, 112, 152, 175, 90, 97, 79, 151, 160, 95, 200, 80, 164]",31-May-10
27192949,9,2667,"[680, 38, 65, 60, 42, 520, 40, 1222]",19-May-16,30-Sep-15,0,7,765,"[38, 65, 60, 42, 520, 40]",11-Jan-12
27153248,8,1036,"[44, 93, 158, 120, 100, 219, 238, 64]",6-May-16,30-Nov-15,0,5,311,"[20, 53, 238]",28-Feb-11
27115326,3,3940,"[41, 3088, 811]",26-Apr-16,31-Dec-15,0,3,3940,"[41, 3088, 811]",23-Oct-13
27107610,3,192,"[153, 19, 20]",24-Apr-16,4-May-15,0,3,192,"[153, 19, 20]",20-Oct-11
27087494,42,3665,"[100, 253, 80, 60, 228, 81, 134, 100, 120, 48, 100, 63, 180, 60, 52, 60, 80, 60, 40, 92, 200, 90, 90, 58, 74, 93, 201, 40, 45, 96, 80, 196, 90, 60, 90, 171]",18-Apr-16,30-Sep-15,0,10,598,"[134, 92, 201, 171]",31-Mar-10
27075527,6,301,"[105, 134, 62]",14-Apr-16,29-Feb-16,0,5,196,"[134, 62]",31-Jul-12
27049331,3,1263,"[369, 343, 551]",6-Apr-16,23-Mar-16,1,2,920,"[369, 551]",6-Oct-11
27045603,5,373,"[68, 160, 60, 56, 29]",5-Apr-16,31-Oct-11,1,5,373,"[68, 160, 60, 56, 29]",31-Oct-11
27043279,19,2565,"[18, 19, 14, 24, 23, 72, 968, 20, 320, 38, 85, 474, 181, 71, 15, 25, 70, 48, 80]",4-Apr-16,30-Nov-15,0,15,2195,"[18, 14, 23, 72, 968, 20, 320, 46, 239, 181, 71, 25, 70, 48, 80]",17-Jul-09
27030386,6,34,[34],31-Mar-16,11-Nov-14,0,5,34,[34],6-Sep-11
27021597,5,0,[],29-Mar-16,30-Sep-15,0,5,0,[],30-Apr-13
27009521,53,33295,"[821, 298, 778, 116, 126, 162, 719, 168, 118, 89, 794, 707, 220, 322, 56, 100, 4614, 205, 1141, 296, 168, 185, 5887, 463, 209, 274, 493, 1286, 173, 1199, 97, 224, 237, 254, 225, 397, 218, 117, 1204, 923, 324, 2015, 130, 370, 2054, 120, 137, 15, 302, 1207, 538]",24-Mar-16,31-Jul-15,0,41,27616,"[821, 298, 116, 126, 719, 168, 118, 89, 794, 220, 322, 56, 4614, 205, 1141, 296, 185, 5887, 463, 209, 274, 1286, 173, 1199, 237, 254, 225, 218, 117, 1204, 923, 324, 130, 370, 2054, 120, 137, 15, 302, 1207]",31-Jul-12
27004596,15,174,"[30, 60, 30, 20, 34]",23-Mar-16,2-Jun-15,1,8,30,[30],28-Feb-11
27003123,5,1854,"[1169, 41, 177, 363, 104]",22-Mar-16,30-Sep-15,1,2,2,"[1, 1]",27-Jun-12
27000210,3,1076,"[23, 52, 1001]",22-Mar-16,31-Aug-15,0,3,1072,"[70, 1, 1001]",30-Sep-11
26996760,32,748,"[19, 10, 4, 14, 20, 14, 20, 6, 9, 11, 30, 96, 10, 10, 40, 10, 20, 15, 59, 20, 10, 14, 11, 50, 50, 11, 10, 14, 22, 20, 9, 90]",21-Mar-16,28-Feb-15,1,15,463,"[4, 14, 6, 9, 30, 96, 40, 10, 20, 20, 10, 14, 50, 50, 90]",31-Mar-13
26986179,6,125,"[32, 12, 31, 31, 8, 11]",17-Mar-16,12-Jan-16,0,4,102,"[32, 31, 31, 8]",31-May-12
26982519,11,0,[],16-Mar-16,30-Nov-14,0,10,0,[],28-Feb-12
26982376,57,0,[],16-Mar-16,31-Mar-15,0,56,0,[],31-Mar-12
26978005,4,35,"[6, 8, 19, 2]",15-Mar-16,7-Mar-16,0,4,35,"[6, 8, 19, 2]",10-Jan-13
26976529,18,8602,"[81, 64, 904, 387, 50, 319, 79, 241, 214, 4023, 332, 536, 61, 66, 400, 543, 302]",15-Mar-16,28-Sep-15,0,10,3232,"[64, 904, 319, 79, 241, 214, 332, 536, 543]",30-Apr-11
26967103,5,99,[99],11-Mar-16,30-Apr-15,0,5,99,[99],30-Apr-15
26937872,13,4428,"[200, 410, 714, 353, 368, 411, 167, 101, 38, 698, 209, 759]",3-Mar-16,31-Oct-15,0,8,1781,"[200, 368, 167, 101, 38, 698, 209]",31-Jul-12
26935713,3,100,"[18, 52, 30]",3-Mar-16,30-Nov-15,1,3,129,"[18, 59, 52]",31-May-08
26932818,3,271,"[20, 67, 184]",2-Mar-16,30-Jun-15,0,2,251,"[67, 184]",31-May-13
26923064,4,0,[],29-Feb-16,31-Aug-15,0,4,0,[],31-May-13
26895968,10,3817,"[400, 375, 158, 936, 400, 400, 100, 108, 178, 762]",20-Feb-16,30-Nov-14,0,5,1186,"[400, 400, 100, 108, 178]",31-Aug-11
26859528,7,469,"[48, 20, 145, 76, 40, 38, 102]",9-Feb-16,30-Mar-15,0,17,1151,"[48, 23, 145, 145, 76, 56, 12, 30, 9, 51, 48, 63, 150, 199, 48, 33, 15]",30-Jun-11
26842929,18,4699,"[400, 66, 68, 194, 62, 114, 43, 242, 28, 574, 394, 232, 53, 251, 251, 92, 1313, 322]",4-Feb-16,9-Dec-13,0,16,3824,"[24, 68, 62, 114, 100, 242, 574, 240, 232, 53, 251, 283, 1313, 268]",31-May-06
26842828,77,103726,"[3703, 44, 6928, 640, 471, 706, 11, 38, 2305, 968, 105, 946, 6320, 1836, 13, 75, 2692, 146, 5345, 1, 22, 7440, 7593, 588, 72, 543, 71, 54, 2005, 6213, 21, 4000, 756, 35, 217, 2, 9428, 6717, 3235, 5815, 92, 5807, 17, 3, 3545, 11, 2005, 502, 215, 2009, 1294, 23, 83]",4-Feb-16,28-Feb-15,0,50,19794,"[27, 329, 83, 79, 6152, 124, 13, 139, 1679, 1087, 1750, 75, 83, 105, 74, 3298, 71, 105, 22, 403, 2092, 2004]",31-Jul-01
26839116,53,70889,"[582, 695, 181, 359, 1295, 1268, 211, 3878, 2835, 988, 522, 582, 277, 300, 1452, 450, 63, 3794, 2016, 4196, 417, 536, 659, 682, 1707, 1664, 3878, 506, 1258, 360, 162, 3289, 2489, 738, 198, 1061, 232, 1896, 1571, 484, 2117, 1490, 123, 253, 129, 8766, 664, 7616]",3-Feb-16,30-Nov-15,0,41,86244,"[582, 695, 181, 359, 1295, 1268, 211, 3878, 2835, 988, 522, 582, 277, 300, 1452, 450, 63, 3794, 4196, 417, 536, 659, 682, 1664, 10600, 3878, 3289, 2489, 225, 1896, 484, 2117, 1490, 123, 129, 8766, 656, 10954, 7616, 3646]",31-Dec-08
26836199,16,837,"[26, 75, 22, 48, 77, 37, 55, 40, 64, 112, 70, 39, 23, 40, 32, 77]",17-Sep-15,31-Aug-15,1,29,1006,"[33, 160, 18, 4, 2, 12, 49, 294, 6, 12, 12, 52, 31, 23, 18, 30, 250]",28-Feb-08
26822633,4,277,"[66, 57, 104, 50]",29-Jan-16,30-Sep-15,0,4,277,"[66, 57, 104, 50]",31-Jan-13
26820557,7,359,"[80, 14, 10, 30, 89, 30, 106]",28-Jan-16,30-Nov-15,0,3,130,"[14, 10, 106]",31-Jan-08
26816298,1,12,[12],27-Jan-16,22-Sep-15,0,1,25,[25],31-Oct-09
26799160,14,5397,"[1, 22, 18, 4, 154, 24, 66, 4387, 34, 23, 75, 164, 400, 25]",22-Jan-16,30-Jun-15,0,11,4766,"[22, 18, 4, 154, 24, 4387, 34, 23, 75, 25]",30-Jun-07
26797965,1,170,[170],21-Jan-16,28-Aug-15,0,1,170,[170],28-Nov-13
26787125,6,964,"[179, 326, 205, 201, 53]",20-Jan-16,28-Feb-15,0,6,964,"[179, 326, 205, 201, 53]",31-Mar-13
26765344,15,2959,"[54, 48, 126, 40, 84, 260, 88, 77, 400, 200, 72, 160, 180, 990, 180]",14-Jan-16,23-Feb-15,1,6,1023,"[126, 40, 77, 400, 200, 180]",31-Oct-11
26730878,64,15416,"[75, 392, 118, 353, 87, 110, 200, 126, 113, 37, 235, 303, 585, 124, 228, 80, 88, 178, 61, 101, 300, 450, 105, 87, 69, 65, 375, 142, 95, 182, 176, 171, 42, 270, 180, 198, 40, 49, 40, 201, 48, 223, 193, 101, 113, 38, 39, 651, 258, 256, 106, 109, 25, 50, 98, 197, 160, 1813, 3184, 315, 112, 269, 227]",5-Jan-16,31-Jul-14,0,47,7865,"[75, 311, 87, 110, 200, 37, 235, 303, 294, 124, 80, 88, 178, 61, 300, 450, 87, 69, 375, 142, 95, 182, 126, 42, 270, 198, 177, 48, 113, 38, 39, 651, 258, 182, 91, 109, 28, 50, 98, 197, 160, 280, 112, 269, 446]",31-Dec-09
26727124,2,6340,"[536, 5804]",4-Jan-16,11-Nov-15,0,2,6340,"[536, 5804]",10-Oct-07
26709672,11,288,"[109, 13, 40, 50, 20, 56]",28-Dec-15,15-Jun-15,1,9,188,"[13, 40, 14, 19, 8, 50, 20, 16, 8]",31-May-08
26695883,7,0,[],23-Dec-15,9-Dec-13,0,5,0,[],31-Mar-10
26690687,2,16,[16],21-Dec-15,23-Mar-15,0,2,16,[16],31-Aug-12
26688006,8,97,"[16, 12, 12, 19, 10, 14, 6, 8]",21-Dec-15,2-Jun-15,0,8,97,"[16, 12, 12, 19, 10, 14, 6, 8]",4-Feb-13
26684281,2,287,"[253, 34]",18-Dec-15,28-Sep-15,0,1,253,[253],6-Dec-12
26671262,38,7843,"[2049, 2703, 244, 499, 184, 2164]",15-Dec-15,29-Apr-15,1,29,0,[],31-Jan-12
26662928,5,9044,"[5502, 466, 354, 905, 1817]",14-Dec-15,31-Aug-15,0,5,11447,"[7905, 466, 354, 905, 1817]",31-Jul-10
26661741,2,467,"[203, 264]",10-Dec-15,16-Feb-15,0,2,467,"[203, 264]",1-May-12
26649916,4,430,"[129, 3, 148, 150]",9-Dec-15,31-Oct-15,0,2,3,[3],31-Aug-09
26632986,13,144,"[2, 1, 141]",3-Dec-15,30-Apr-15,0,10,2,[2],31-Jul-08
26599079,15,1006,"[21, 40, 20, 37, 252, 30, 18, 18, 63, 20, 293, 39, 26, 47, 82]",24-Nov-15,3-Feb-15,0,12,342,"[21, 40, 20, 30, 18, 18, 63, 20, 39, 26, 47]",10-Jan-08
26593309,5,620,"[485, 37, 8, 45, 45]",23-Nov-15,30-Nov-14,0,5,620,"[485, 37, 8, 45, 45]",31-Mar-12
26591003,7,106,"[8, 10, 9, 20, 37, 8, 14]",23-Nov-15,31-Mar-15,0,5,55,"[8, 10, 9, 20, 8]",31-Oct-12
26590358,2,100,"[50, 50]",21-Nov-15,30-Sep-15,0,2,50,[50],31-Jan-13
26580100,5,369,"[229, 50, 26, 26, 38]",18-Nov-15,31-Jul-15,0,5,369,"[229, 50, 26, 26, 38]",10-Oct-11
26568111,2,0,[],13-Nov-15,17-Sep-15,1,1,0,[],31-Jan-12
26558329,3,175,"[24, 111, 40]",12-Nov-15,14-Jan-15,1,1,24,[24],31-Oct-10
26560337,13,1625,"[67, 44, 60, 90, 54, 131, 91, 778, 102, 41, 44, 100, 23]",11-Nov-15,31-Aug-15,0,13,1622,"[64, 44, 60, 90, 54, 131, 91, 778, 102, 41, 44, 100, 23]",31-Aug-11
26545069,35,1568,"[12, 24, 7, 9, 129, 16, 34, 113, 30, 193, 3, 7, 60, 50, 66, 22, 30, 4, 58, 40, 30, 35, 38, 7, 40, 30, 36, 34, 38, 45, 4, 190, 70, 46, 18]",6-Nov-15,31-Dec-14,0,7,0,[],31-Mar-10
26544951,4,1232,"[104, 357, 554, 217]",5-Nov-15,30-Jun-15,1,4,1422,"[216, 266, 340, 600]",31-May-09
26545165,1,9,[9],4-Nov-15,27-Jul-15,0,1,9,[9],21-Jan-13
26522473,1,132,[132],2-Nov-15,27-Jul-15,0,1,132,[132],8-Jul-13
26517527,11,1317,"[63, 147, 83, 47, 77, 72, 51, 131, 20, 604, 22]",30-Oct-15,30-Jun-15,1,8,467,"[63, 81, 131, 40, 51, 20, 59, 22]",31-May-98
26512948,50,0,[],29-Oct-15,31-Mar-00,0,39,0,[],31-Mar-00
26510094,1,37,[37],28-Oct-15,11-Aug-15,0,1,37,[37],31-Aug-12
26503498,19,104,"[44, 60]",27-Oct-15,30-Mar-15,0,16,44,[44],15-Jul-10
26497573,14,7894,"[1141, 1165, 35, 20, 48, 1044, 28, 363, 982, 2372, 573, 123]",26-Oct-15,31-Jul-15,0,7,3626,"[20, 363, 982, 1044, 48, 28, 1141]",31-May-09
26493180,11,3241,"[1052, 156, 105, 30, 38, 135, 99, 27, 77, 1278, 244]",23-Oct-15,31-Aug-15,1,9,1828,"[1052, 156, 105, 30, 38, 99, 27, 77, 244]",14-Nov-08
26490945,10,10962,"[304, 2624, 2539, 62, 1134, 1142, 255, 638, 1132, 1132]",22-Oct-15,31-Jul-15,1,5,3473,"[304, 1134, 1142, 255, 638]",31-Jan-12
26488459,1,32,[32],21-Oct-15,10-Aug-15,0,1,32,[32],19-Aug-13
26487173,3,306,"[150, 107, 49]",21-Oct-15,4-Mar-15,0,3,1072,"[70, 1, 1001]",30-Sep-11
26482422,7,4173,"[1025, 100, 884, 1151, 888, 125]",20-Oct-15,18-May-15,0,5,125,[125],31-Jan-12
26482210,2,64,"[42, 22]",19-Oct-15,27-Apr-15,0,2,64,"[42, 22]",15-May-13
26468973,5,285,"[90, 66, 60, 48, 21]",15-Oct-15,31-Jul-15,1,3,204,"[90, 66, 48]",30-Nov-10
26461493,3,353,"[199, 54, 100]",13-Oct-15,31-May-15,0,2,253,"[199, 54]",31-May-12
26457723,47,24710,"[240, 925, 372, 846, 1329, 198, 509, 750, 961, 260, 303, 99, 84, 139, 149, 199, 220, 402, 4614, 225, 209, 504, 301, 509, 69, 444, 854, 463, 380, 430, 1199, 396, 165, 205, 223, 677, 214, 330, 383, 1524, 1202, 370, 385, 100, 350]",12-Oct-15,31-May-15,0,38,21526,"[240, 925, 1329, 198, 750, 961, 260, 99, 84, 139, 149, 199, 220, 402, 4614, 225, 504, 301, 509, 69, 444, 854, 463, 380, 1199, 396, 205, 223, 677, 214, 330, 383, 1524, 1202, 370, 385, 100]",31-Jul-12
26446577,42,682,"[5, 2, 20, 2, 10, 12, 14, 18, 11, 35, 15, 6, 13, 13, 9, 24, 17, 20, 5, 23, 2, 4, 7, 5, 13, 10, 20, 34, 36, 10, 9, 9, 22, 10, 9, 106, 15, 24, 13, 22, 19, 9]",8-Oct-15,30-Jun-15,1,19,619,"[10, 6, 23, 30, 20, 32, 43, 6, 14, 17, 10, 35, 23, 9, 16, 222, 30, 47, 26]",30-Jun-08
26436959,14,2058,"[196, 137, 122, 214, 119, 205, 117, 134, 130, 160, 133, 145, 120, 126]",5-Oct-15,2-Feb-15,1,6,794,"[196, 137, 122, 205, 14, 120]",30-Nov-07
26424726,18,305,"[172, 17, 46, 70]",1-Oct-15,30-Jun-15,0,18,305,"[172, 17, 46, 70]",30-Jun-15
26417854,24,3377,"[60, 60, 27, 26, 200, 45, 90, 430, 699, 120, 194, 24, 80, 40, 47, 195, 40, 50, 150, 35, 128, 26, 561, 50]",29-Sep-15,30-Apr-15,0,23,124,[124],31-Jan-11
26405010,15,43,"[42, 1]",25-Sep-15,31-Mar-14,0,18,1010,"[34, 89, 173, 28, 20, 7, 16, 43, 80, 55, 64, 53, 164, 44, 41, 43, 42, 14]",28-Feb-10
26403154,1,117,[117],25-Sep-15,26-Mar-15,0,1,117,[117],13-Feb-12
26391969,2,536,"[356, 180]",22-Sep-15,31-Aug-15,1,2,536,"[356, 180]",30-Nov-12
26387863,3,1481,"[38, 1057, 386]",21-Sep-15,30-Jun-09,0,2,1443,"[1057, 386]",30-Jun-09
26384333,7,447,"[20, 281, 13, 69, 13, 39, 12]",18-Sep-15,31-Mar-15,0,5,97,"[20, 13, 13, 39, 12]",30-Jun-09
26377410,16,837,"[26, 75, 22, 48, 77, 37, 55, 40, 64, 112, 70, 39, 23, 40, 32, 77]",17-Sep-15,31-Aug-15,1,16,837,"[26, 75, 22, 48, 77, 37, 55, 40, 64, 112, 70, 39, 23, 40, 32, 77]",2-Oct-14
26376212,3,84,[84],16-Sep-15,30-Sep-15,0,3,84,[84],31-Oct-12
26361135,32,2724,"[106, 59, 70, 188, 40, 50, 67, 61, 51, 112, 80, 160, 90, 230, 60, 60, 129, 70, 60, 60, 80, 250, 70, 56, 40, 141, 70, 60, 40, 80, 34]",11-Sep-15,31-Aug-14,1,18,1343,"[59, 60, 188, 44, 64, 80, 61, 51, 160, 90, 60, 40, 60, 70, 80, 56, 40, 80]",31-Jul-08
26346107,1,0,[],8-Sep-15,14-Jul-15,0,1,0,[],20-Jan-12
26337716,7,0,[],4-Sep-15,31-Mar-15,1,6,0,[],31-Jul-08
26346329,22,7672,"[374, 116, 87, 24, 1729, 18, 350, 534, 73, 46, 475, 88, 36, 18, 577, 35, 6, 558, 1923, 60, 545]",3-Sep-15,27-May-15,0,14,5781,"[374, 116, 87, 24, 1729, 18, 350, 73, 475, 36, 18, 558, 1923]",31-May-07
26334436,2,4510,"[1969, 2541]",3-Sep-15,31-May-15,0,2,4510,"[1969, 2541]",30-Sep-12
26333525,12,4361,"[4091, 270]",3-Sep-15,5-Jun-15,0,11,270,[270],22-Jun-11
