SR_ID_Pub3,Total_Trials_Pub3,Total_Participants_Pub3,PublicationDate_Pub3,SearchDate_Pub3,SearchDate_Pub2,Total_Trials_Pub2,Total_Participants_Pub2,conclusion
27049331,3,1263,6-Apr-16,23-Mar-16,6-Oct-11,2,920,1
29199767,5,1019,2-Dec-17,21-Nov-16,30-Oct-12,4,922,1
30075059,4,13,3-Aug-18,14-Jun-17,30-Jun-09,1,942,0
25054950,8,1074,23-Jul-14,14-Oct-13,11-Mar-10,8,947,0
24500879,6,948,5-Feb-14,30-Nov-13,31-Dec-11,6,948,0
25203307,4,957,9-Sep-14,4-Sep-14,1-Mar-12,4,957,0
23076933,5,960,17-Oct-12,8-Aug-12,30-Nov-09,5,960,0
26787125,6,964,20-Jan-16,28-Feb-15,31-Mar-13,6,964,0
23771707,3,996,17-Jun-13,30-May-13,19-Apr-11,3,996,0
26836199,16,837,17-Sep-15,31-Aug-15,28-Feb-08,29,1006,1
24664368,5,1193,25-Mar-14,28-Feb-14,30-Jun-11,4,1008,0
23986434,22,1742,28-Aug-13,30-Jun-13,30-Sep-22,15,1020,1
29985541,19,1557,9-Jul-18,19-May-17,5-Sep-14,12,1021,0
26765344,15,2959,14-Jan-16,23-Feb-15,31-Oct-11,6,1023,1
25405603,3,1027,18-Nov-14,30-Sep-14,28-Feb-12,3,1027,0
29708265,9,2976,30-Apr-18,31-Jan-18,31-May-10,4,1056,1
28756627,12,1508,30-Jul-17,24-Oct-16,18-Feb-13,10,1061,0
24941199,16,1035,18-Jun-14,19-Dec-13,30-Sep-07,13,1070,0
27000210,3,1076,22-Mar-16,31-Aug-15,30-Sep-11,3,1072,0
26487173,3,306,21-Oct-15,4-Mar-15,30-Sep-11,3,1072,0
25038719,38,1179,20-Jul-14,13-Jan-14,31-Dec-10,37,1072,0
23235641,6,1078,12-Dec-12,31-Aug-12,31-Mar-09,6,1078,0
24915581,21,1275,10-Jun-14,30-Sep-13,31-Aug-11,15,1084,0
23990333,12,1557,29-Aug-13,13-Feb-13,31-Jan-08,10,1089,0
24570033,11,1198,25-Feb-14,30-Jun-13,10-May-07,10,1112,0
30091808,20,2554,9-Aug-18,31-Aug-17,25-Feb-10,7,1116,0
29934987,11,1543,23-Jun-18,12-Apr-18,26-Aug-15,9,1138,0
19821360,6,1835,7-Oct-09,28-Feb-09,31-Dec-06,4,1138,1
26859528,7,469,9-Feb-16,30-Mar-15,30-Jun-11,17,1151,0
24825542,21,1438,13-May-14,31-Aug-13,31-May-08,19,1154,0
23728654,32,3005,31-May-13,20-Apr-11,30-Apr-05,21,1156,1
22592672,51,1545,16-May-12,30-Jun-11,30-Apr-09,41,1164,0
26895968,10,3817,20-Feb-16,30-Nov-14,31-Aug-11,5,1186,0
25738821,8,1288,4-Mar-15,31-Jan-12,30-Sep-12,6,1187,0
26017576,8,1192,28-May-15,17-Oct-13,31-Aug-11,8,1192,0
27271056,6,2050,6-Jun-16,30-Apr-15,31-Jul-10,3,1199,1
26200817,13,1863,22-Jul-15,17-Feb-15,31-Jul-12,11,1201,0
28933516,13,6702,21-Sep-17,31-Mar-17,30-Nov-14,8,1211,1
25626888,4,1219,28-Jan-15,30-Nov-10,30-Nov-10,4,1220,0
26133313,12,1731,2-Jul-15,31-May-14,31-Jan-08,3,1223,1
22696317,4,1283,13-Jun-12,31-Jan-12,31-Aug-07,3,1244,0
23794255,8,1271,23-Jun-13,23-Feb-13,30-Apr-11,8,1271,0
23152210,21,1565,14-Nov-12,30-Jun-12,31-May-07,17,1276,0
25433518,11,1350,30-Nov-14,11-Jun-14,11-Nov-11,10,1278,0
25425092,17,1381,26-Nov-14,22-Aug-14,31-Dec-08,16,1289,1
23450574,34,2163,28-Feb-13,31-Oct-12,30-Apr-10,21,1289,0
22419326,4,1293,14-Mar-12,31-Jan-12,31-Jan-09,4,1293,0
22895943,10,1314,15-Aug-12,31-May-12,30-Apr-09,10,1314,0
25518837,1,1315,18-Dec-14,28-Feb-14,30-Apr-11,1,1315,0
24500927,6,943,6-Feb-14,26-Apr-13,31-Jan-13,6,1319,0
21154378,5,1324,8-Dec-10,31-Oct-09,31-Oct-09,5,1324,0
24823491,21,1868,14-May-14,15-Apr-13,18-Feb-09,14,1334,0
29736980,10,1964,8-May-18,31-Aug-17,31-Jul-12,7,1335,1
25353321,29,17226,28-Oct-14,28-Feb-14,31-Jul-07,15,1340,0
25927097,6,1342,5-Feb-15,1-Dec-14,30-Sep-12,6,1342,0
26361135,32,2724,11-Sep-15,31-Aug-14,31-Jul-08,18,1343,1
30091147,5,1350,9-Aug-18,31-Oct-17,30-Nov-14,5,1350,0
22513922,6,1942,18-Apr-12,3-Jan-12,31-Dec-08,5,1354,0
23440819,5,1361,31-Jan-13,8-Aug-12,31-Dec-09,4,1361,0
23633360,5,1368,30-Apr-13,27-Sep-11,27-Sep-11,5,1368,1
25922865,4,1381,4-Feb-15,31-Oct-14,9-Mar-12,2,1369,0
21328285,16,1606,16-Feb-11,28-Feb-10,31-Jan-07,15,1369,0
22513928,11,1908,18-Apr-12,31-Jan-12,7-Jul-08,8,1373,0
25300170,4,1387,9-Oct-14,31-Mar-14,30-Nov-09,4,1387,0
24519568,19,2686,11-Feb-14,27-Nov-13,31-May-09,16,1403,0
26544951,4,1232,5-Nov-15,30-Jun-15,31-May-09,4,1422,1
23235601,37,1893,12-Dec-12,31-Mar-12,31-Aug-08,29,1432,1
26133124,6,1438,2-Jul-15,31-Dec-07,31-Dec-07,6,1438,0
26387863,3,1481,21-Sep-15,30-Jun-09,30-Jun-09,2,1443,0
21412889,16,2064,16-Mar-11,31-Oct-10,31-Dec-06,9,1450,1
26171894,19,1944,14-Jul-15,31-Oct-13,30-Jun-07,15,1471,0
22513899,9,1498,18-Apr-12,30-Nov-11,30-Nov-09,9,1498,0
27524661,52,3520,15-Aug-16,31-Jan-16,30-Sep-10,30,1553,1
23450576,6,2073,28-Feb-13,31-Dec-12,31-May-09,9,1560,1
24338106,5,1585,13-Dec-13,31-Mar-13,31-Jul-10,5,1585,0
25842375,23,1586,5-Apr-15,27-Oct-14,31-Jul-10,23,1586,0
30058070,11,2392,30-Jul-18,11-Jun-18,31-Dec-13,6,1588,1
28205208,25,2001,16-Feb-17,25-Feb-16,31-Aug-11,19,1595,1
22592711,4,1595,16-May-12,31-Dec-11,27-Apr-09,4,1595,0
24302533,12,1596,4-Dec-13,30-Nov-12,30-Apr-09,12,1596,0
24310741,8,3217,5-Dec-13,30-Jun-09,30-Jun-09,4,1607,0
29388675,6,1698,1-Feb-18,31-May-17,31-Aug-13,4,1620,0
26560337,13,1625,11-Nov-15,31-Aug-15,31-Aug-11,13,1622,0
26301604,6,1007,24-Aug-15,30-Jun-15,31-Mar-11,8,1622,0
24477672,5,1249,30-Jan-14,4-Oct-11,31-Oct-07,9,1630,1
21678357,5,1634,15-Jun-11,28-Feb-10,28-Feb-10,5,1634,0
26026155,45,5598,30-May-15,28-Apr-14,30-Jun-09,22,1665,1
23152219,11,1726,14-Nov-12,10-Jan-12,10-Jan-12,10,1665,0
23543540,4,2247,28-Mar-13,31-Jul-11,28-Feb-08,3,1687,1
21678336,4,1693,15-Jun-11,31-Jul-10,31-Jul-10,4,1693,0
26146793,17,1342,6-Jul-15,31-Mar-15,30-Sep-12,22,1708,1
23450551,67,6299,28-Feb-13,31-May-12,31-Mar-08,49,1744,1
24510642,12,1834,8-Feb-14,31-Aug-13,31-Jul-06,11,1754,0
24979199,18,2652,30-Jun-14,10-Feb-14,10-Apr-12,11,1776,1
26937872,13,4428,3-Mar-16,31-Oct-15,31-Jul-12,8,1781,0
26092137,8,1784,20-Jun-15,30-Apr-15,31-Jul-14,7,1784,0
26171895,28,2681,14-Jul-15,15-Jan-13,31-Dec-08,17,1796,0
24771319,6,1798,25-Apr-14,30-Jun-13,20-May-08,6,1798,0
29547689,4,1803,16-Mar-18,28-Feb-18,30-Nov-16,4,1803,0
24092525,32,2730,3-Oct-13,31-Jul-12,31-May-06,25,1804,0
26493180,11,3241,23-Oct-15,31-Aug-15,14-Nov-08,9,1828,1
21678361,9,1908,15-Jun-11,28-Feb-10,31-Jan-07,8,1840,0
23888428,20,4814,26-Jul-13,31-Jul-13,31-Aug-07,13,1843,0
23784858,7,1847,19-Jun-13,8-Apr-13,28-Feb-11,7,1847,0
24085642,26,2626,30-Sep-13,31-Aug-13,31-Jan-06,17,1855,1
25229990,55,3468,17-Sep-14,31-Jul-09,31-Jul-09,36,1889,0
24627325,24,2556,14-Mar-14,31-May-13,31-May-07,16,1927,0
23913521,3,1945,3-Aug-13,31-Mar-13,11-Apr-12,3,1945,0
27577848,9,1792,31-Aug-16,30-Sep-15,30-Nov-10,9,1961,1
24477710,6,2030,30-Jan-14,31-May-12,31-Jul-07,6,2030,0
27537242,37,2368,18-Aug-16,13-Jun-16,6-Nov-13,32,2053,1
23152233,61,3901,14-Nov-12,31-Mar-11,31-Jul-07,30,2089,1
23235650,6,2105,12-Dec-12,9-Jul-12,30-Apr-09,6,2105,0
28701028,23,2653,12-Jul-17,28-Feb-17,30-Sep-13,19,2119,0
25317988,2,2193,15-Oct-14,31-May-14,31-Dec-11,2,2193,0
27043279,19,2565,4-Apr-16,30-Nov-15,17-Jul-09,15,2195,0
25558862,15,2217,6-Jan-15,31-Oct-14,30-Nov-11,15,2217,0
24385423,18,3417,3-Jan-14,30-Nov-13,10-Mar-09,6,2220,1
19588321,11,2301,8-Jul-09,31-Jan-11,30-Apr-07,10,2221,1
26171903,6,2248,14-Jul-15,30-Jun-15,10-Oct-11,4,2236,0
22513934,14,2652,18-Apr-12,20-Jan-12,31-Mar-06,12,2248,0
25231904,11,2433,18-Sep-14,5-Jun-14,30-Nov-09,6,2433,0
21833953,14,4041,10-Aug-11,31-Mar-11,30-Jun-08,11,2441,0
22258950,12,2453,18-Jan-12,30-Jun-11,31-Jul-07,12,2453,0
29852056,87,4618,31-May-18,10-Aug-17,25-Oct-13,47,2479,1
25715323,12,2560,25-Feb-15,30-Nov-14,30-Jun-11,8,2490,0
22419293,8,2540,14-Mar-12,3-Jan-12,31-Jul-08,8,2540,0
23450557,25,2997,28-Feb-13,13-Jun-12,31-May-08,19,2554,1
23807762,9,2577,28-Jun-13,31-Jan-13,31-May-10,9,2577,0
24226383,6,2581,13-Nov-13,31-Oct-13,31-May-11,6,2581,0
28901007,34,2816,13-Sep-17,30-Nov-16,31-Dec-09,28,2616,0
21069678,4,7095,10-Nov-10,30-Jun-09,30-Jun-06,2,2644,1
21249679,14,3231,19-Jan-11,31-Mar-10,31-Jan-07,12,2744,1
23633353,21,2858,30-Apr-13,28-Feb-13,31-Dec-11,19,2755,0
23737030,21,3286,5-Jun-13,28-Feb-13,2-Sep-11,19,2798,0
23633349,11,3014,30-Apr-13,4-Oct-10,4-Oct-10,10,2841,1
27915460,6,2856,4-Dec-16,21-Oct-16,31-Jan-10,8,2856,0
21491396,9,2857,13-Apr-11,28-Feb-10,28-Feb-10,9,2857,0
21975733,86,4896,5-Oct-11,31-Dec-09,31-Jul-06,55,2865,0
24096743,49,3657,6-Oct-13,14-May-12,15-Jun-10,39,2890,0
25097101,5,2926,6-Aug-14,28-Feb-14,31-Jan-12,5,2926,0
23843134,15,3576,11-Jul-13,13-Feb-13,31-Dec-07,11,2939,1
29864216,68,3712,4-Jun-18,31-Jan-17,31-May-14,45,2977,0
24638894,5,2190,17-Mar-14,30-Jun-13,31-May-09,5,2992,0
28758203,48,3909,31-Jul-17,31-May-16,30-Jun-11,39,2996,0
26151766,18,3685,7-Jul-15,9-Mar-15,31-Dec-08,15,3033,1
24668137,8,1483,25-Mar-14,16-Oct-13,30-Jun-07,14,3041,0
23633318,18,3057,30-Apr-13,31-Oct-12,31-Aug-10,18,3057,0
27486835,5,3429,3-Aug-16,31-Jan-16,31-Aug-11,4,3103,0
28230244,25,3129,22-Feb-17,31-Dec-16,31-Dec-16,25,3129,0
23966209,5,3130,22-Aug-13,30-Jun-13,30-Apr-09,5,3130,0
25504418,48,4570,15-Dec-14,31-Jan-14,28-Feb-10,34,3149,1
28540716,24,5275,25-May-17,28-Mar-17,31-Aug-09,18,3157,1
26976529,18,8602,15-Mar-16,28-Sep-15,30-Apr-11,10,3232,0
28586127,15,4507,6-Jun-17,30-Jun-16,31-Oct-11,12,3241,0
23990391,25,3926,30-Aug-13,31-Mar-12,31-Jul-08,23,3289,0
18646161,9,3295,16-Jul-08,30-Nov-07,31-May-07,9,3295,1
23959763,25,5115,20-Aug-13,31-Jan-13,30-Nov-08,21,3367,1
28746980,31,3374,26-Jul-17,6-Feb-13,6-Feb-13,31,3374,0
29757454,38,3379,12-May-18,31-Aug-17,31-Aug-17,38,3379,0
28541603,5,3849,25-May-17,31-Mar-17,30-Nov-10,4,3399,1
23633346,7,4895,30-Apr-13,31-Dec-12,31-Oct-09,6,3425,0
22513904,19,3933,18-Apr-12,1-Feb-11,31-Aug-09,17,3431,1
22071828,23,6909,9-Nov-11,31-Jul-11,30-Jun-08,12,3435,0
22336796,11,3449,15-Feb-12,9-Nov-11,28-Feb-22,11,3449,1
26490945,10,10962,22-Oct-15,31-Jul-15,31-Jan-12,5,3473,1
28263370,13,5620,6-Mar-17,30-Sep-16,2-Jul-13,9,3502,0
28752910,50,6335,28-Jul-17,30-Sep-16,30-Apr-13,28,3548,1
24771480,37,5704,27-Apr-14,31-Mar-14,31-Jan-11,29,3571,0
26301526,15,3615,24-Aug-15,30-Nov-14,30-Nov-14,15,3615,0
26497573,14,7894,26-Oct-15,31-Jul-15,31-May-09,7,3626,0
20091516,28,3651,20-Jan-10,31-May-08,31-May-08,28,3651,0
25569281,54,5847,9-Jan-15,31-May-13,31-Dec-07,33,3784,0
26842929,18,4699,4-Feb-16,9-Dec-13,31-May-06,16,3824,0
27115326,3,3940,26-Apr-16,31-Dec-15,23-Oct-13,3,3940,0
24659261,37,5105,21-Mar-14,27-Apr-13,28-May-10,27,3944,0
24515533,4,3972,11-Feb-14,1-Dec-13,30-Apr-10,4,3972,0
25048608,27,9486,22-Jul-14,1-Sep-13,30-Nov-07,15,4116,1
22972088,62,5399,12-Sep-12,30-Jun-12,31-Oct-07,46,4135,0
24249315,35,5874,18-Nov-13,31-May-10,30-Apr-07,21,4215,0
23543549,20,4804,28-Mar-13,30-Nov-12,30-Sep-09,15,4262,0
21412871,70,4284,16-Mar-11,31-Mar-07,31-Mar-07,70,4284,0
29129039,23,8292,13-Nov-17,27-Nov-16,11-Feb-14,13,4357,1
24567053,21,4172,25-Feb-14,13-Nov-13,31-May-09,19,4365,1
27959472,50,4455,13-Dec-16,5-Sep-16,30-Sep-08,49,4385,0
23633348,9,4396,30-Apr-13,22-Apr-10,22-Apr-10,9,4396,1
25922860,1,4429,1-Feb-15,30-Nov-14,31-Jul-09,1,4429,0
22972092,19,5867,12-Sep-12,2-Dec-11,21-Apr-10,17,4492,0
27378324,29,5257,5-Jul-16,1-Jul-15,30-Nov-07,19,4500,1
25695213,16,5683,19-Feb-15,30-Jun-14,31-Jan-08,15,4500,0
26334436,2,4510,3-Sep-15,31-May-15,30-Sep-12,2,4510,0
26799160,14,5397,22-Jan-16,30-Jun-15,30-Jun-07,11,4766,0
23152245,42,4798,14-Nov-12,30-Sep-11,31-Jan-08,52,4781,1
23152252,10,4867,14-Nov-12,31-Jul-12,30-Nov-09,10,4867,0
24302546,29,5057,4-Dec-13,30-Nov-12,30-Apr-09,29,5057,0
25858345,13,5072,10-Apr-15,2-Mar-15,27-Mar-08,13,5122,0
25502052,20,7238,11-Dec-14,28-Aug-14,31-Jan-12,15,5253,1
25403701,9,4654,18-Nov-14,29-Aug-14,30-Jun-08,12,5257,0
24043476,7,5390,16-Sep-13,16-Apr-13,28-Feb-08,7,5390,0
22696376,19,5624,13-Jun-12,31-Jul-10,31-Jul-10,19,5624,1
26068955,61,9418,15-Jun-15,28-Feb-15,31-Dec-09,47,5657,1
26346329,22,7672,3-Sep-15,27-May-15,31-May-07,14,5781,0
28176333,12,6258,8-Feb-17,14-Sep-16,31-Mar-08,8,5794,1
26233609,32,6515,2-Aug-15,31-Aug-14,30-Apr-07,29,5970,0
29870574,70,9030,5-Jun-18,11-May-17,30-Apr-11,57,5977,0
22161409,7,5997,7-Dec-11,31-Aug-11,31-Aug-11,7,5997,0
23963739,13,8946,21-Aug-13,28-Jan-13,31-Jan-08,11,6187,1
26031211,17,8215,2-Jun-15,31-Jan-15,22-Jul-11,15,6217,1
26727124,2,6340,4-Jan-16,11-Nov-15,10-Oct-07,2,6340,0
22071837,7,6486,9-Nov-11,15-Feb-11,31-May-10,5,6486,0
26130017,81,11552,1-Jul-15,26-Jun-14,20-Mar-08,62,6538,0
22513942,12,6820,18-Apr-12,28-Feb-12,30-Jun-09,12,6820,0
22895950,6,7706,15-Aug-12,31-May-12,31-Mar-08,5,6963,0
22513944,23,9159,18-Apr-12,31-Jan-12,31-Jul-08,23,7076,0
29161458,25,10759,21-Nov-17,31-May-17,31-Jan-16,23,7219,0
24297389,22,7245,2-Dec-13,30-Sep-13,29-Apr-10,22,7245,0
29618171,21,10760,4-Apr-18,15-Nov-17,30-Nov-14,12,7529,0
22972098,14,7879,12-Sep-12,15-Feb-12,30-Nov-08,12,7638,0
26184394,7,7730,16-Jul-15,23-Mar-15,30-Apr-10,7,7730,0
26730878,64,15416,5-Jan-16,31-Jul-14,31-Dec-09,47,7865,0
28192644,5,8005,13-Feb-17,31-Dec-16,31-Oct-12,4,7876,0
25259677,22,8013,26-Sep-14,1-Sep-14,31-Oct-11,21,7941,0
24488572,102,49028,31-Jan-14,14-Mar-11,28-Feb-07,62,8206,0
24941907,70,9651,19-Jun-14,1-Mar-14,31-May-09,63,8547,0
25922862,25,8877,25-Feb-15,30-Sep-14,17-Mar-11,22,8612,0
27505053,10,9016,9-Aug-16,2-Aug-16,31-Oct-12,7,8882,0
25099517,30,4407,6-Aug-14,23-May-14,31-Aug-07,24,8909,0
28207928,75,11527,29-Apr-14,28-Feb-15,30-Sep-10,48,9207,0
21491393,89,9217,13-Apr-11,31-Dec-10,31-Jul-10,89,9217,1
24222334,18,9833,12-Nov-13,30-Sep-13,30-Sep-09,18,9833,0
25622306,66,22932,26-Jan-15,31-May-14,31-Mar-08,26,10251,1
29509959,13,14688,6-Mar-18,30-Sep-16,30-Jun-12,10,10274,0
28067944,71,10641,6-Jan-17,10-Apr-15,28-Feb-09,69,10445,0
22696352,33,11410,13-Jun-12,28-Feb-12,31-Dec-10,31,11206,0
25726920,28,17570,2-Mar-15,31-Aug-14,30-Apr-09,14,11270,0
26662928,5,9044,14-Dec-15,31-Aug-15,31-Jul-10,5,11447,0
23235623,60,33206,12-Dec-12,31-Mar-12,31-Jan-09,41,11754,1
29734470,42,23197,7-May-18,30-Apr-17,30-Apr-13,26,12578,0
23744625,29,17907,7-Jun-13,31-Aug-12,31-Oct-08,23,12696,1
24136036,60,21059,18-Oct-13,11-Jan-13,31-Oct-09,48,13085,1
22895944,24,13692,15-Aug-12,30-Apr-12,31-Oct-07,24,13692,0
23543548,40,18029,28-Mar-13,31-Aug-12,31-Oct-08,33,14234,0
25547090,16,15770,30-Dec-14,31-Jul-14,31-May-11,11,15735,0
26148507,94,24117,7-Jul-15,30-Nov-14,28-Feb-11,69,16158,1
29533470,88,16998,13-Mar-18,30-Jun-13,30-Jun-13,89,17008,1
24515610,63,19028,11-Feb-14,31-Mar-13,31-Mar-10,61,17687,0
23076923,25,27463,17-Oct-12,25-Jan-12,15-Dec-08,22,19784,1
24218045,56,6004,12-Nov-13,31-Jan-12,31-Dec-06,26,19915,0
26457723,47,24710,12-Oct-15,31-May-15,31-Jul-12,38,21526,0
27290722,25,3663,12-Jun-16,14-Apr-16,22-Feb-12,23,22932,0
25046211,22,23309,21-Jul-14,28-Feb-12,28-Feb-12,22,23309,1
23440809,12,35430,31-Jan-13,28-Feb-12,31-Aug-08,8,24247,0
28922704,210,25041,18-Sep-17,31-Oct-16,31-Oct-16,210,25041,1
21975754,71,28073,5-Oct-11,30-Jun-11,31-Mar-09,74,25590,0
29480555,14,25708,26-Feb-18,30-Apr-16,30-Apr-16,14,25708,0
23076892,37,26353,17-Oct-12,21-Jun-12,2-Apr-09,36,25985,0
27009521,53,33295,24-Mar-16,31-Jul-15,31-Jul-12,41,27616,0
24671922,57,35918,1-Mar-14,30-Sep-13,31-Oct-07,36,35570,0
26171896,12,39933,14-Jul-15,30-Mar-15,30-Sep-09,12,39933,0
23152260,48,62419,14-Nov-12,31-May-12,31-Oct-11,43,54993,0
22972103,159,79244,12-Sep-12,28-Feb-12,31-May-08,111,55435,1
24414552,56,59514,10-Jan-14,28-Feb-12,31-Jan-11,50,58309,0
28282701,50,37327,10-Mar-17,31-Mar-16,31-Mar-10,46,63051,0
24683040,67,93804,30-Mar-14,28-Feb-13,28-Feb-11,55,66663,0
26839116,53,70889,3-Feb-16,30-Nov-15,31-Dec-08,41,86244,0
